"","Data point","Political identification","pai (x-coord)","psi (y-coord)"
"1",1,"Very liberal",0.765771968548128,0.773406636639667
"2",2,"Very conservative",0.701185061156703,0.677310074185234
"3",3,"Very liberal",0.841883774147781,0.756626125020029
"4",4,"Very conservative",0.856554097643685,0.731539612314599
"5",5,"Very conservative",0.953297400690776,0.767833120991458
"6",6,"Very conservative",0.924265495447233,0.745916706489148
"7",7,"Very conservative",0.801373618779604,0.74616499891319
"8",8,"Very conservative",0.778920203567304,0.727932098589885
"9",9,"Very conservative",0.782538517167662,0.677658711627314
"10",10,"Very conservative",0.699438735795868,0.698068254448306
"11",11,"Very conservative",0.790982935954173,0.74286687318546
"12",12,"Moderate",0.578254882485346,0.719286828676921
"13",13,"Very conservative",0.692664548914952,0.696237818994175
"14",14,"Very conservative",0.844473470956596,0.702646593254194
"15",15,"Very conservative",0.953141524618239,0.755354287203511
"16",16,"Very conservative",0.729649733444106,0.678781499545611
"17",17,"Very conservative",0.92475342174578,0.7710822360944
"18",18,"Very conservative",0.748917413463468,0.682410995315889
"19",19,"Very conservative",0.302230003933105,0.666769507496498
"20",20,"Very conservative",0.769894607522404,0.711036852971229
"21",21,"Very conservative",0.904693043162517,0.731726631965921
"22",22,"Very conservative",0.80855132473277,0.687053819378237
"23",23,"Very liberal",0.810998200642701,0.778983808993419
"24",24,"Very conservative",0.85897061014265,0.730169713791416
"25",25,"Very conservative",0.854558000684424,0.730296399820438
"26",26,"Very conservative",0.885509009769686,0.756838986420356
"27",27,"Very conservative",0.678103354658086,0.677731599859915
"28",28,"Very conservative",0.823281381799652,0.745677470716679
"29",29,"Very conservative",0.708573011813383,0.693991577885952
"30",30,"Moderate",0.84736620488139,0.716092059302165
"31",31,"Very conservative",0.888369306625067,0.745614181799605
"32",32,"Very conservative",0.766466489898479,0.704524274326514
"33",33,"Very conservative",0.695904808656897,0.729457775343943
"34",34,"Very conservative",0.610524247566088,0.682901244189601
"35",35,"Very conservative",0.808190561065679,0.757136978621917
"36",36,"Very conservative",0.770669990792239,0.692761039158782
"37",37,"Very conservative",0.819092963924841,0.756900393214172
"38",38,"Very conservative",0.47852926175562,0.682973501557671
"39",39,"Very conservative",0.853395786134774,0.770177139634657
"40",40,"Very conservative",0.693408191957284,0.710576664730218
"41",41,"Very conservative",0.848953143764397,0.741513289250262
"42",42,"Very liberal",0.807207923393911,0.766541892282909
"43",43,"Very conservative",0.66671275828202,0.685951803111955
"44",44,"Very conservative",0.759786014240964,0.728314022517505
"45",45,"Very conservative",0.888026743742581,0.707855348223965
"46",46,"Moderate",0.914069446749202,0.765307469971042
"47",47,"Moderate",0.766655795971974,0.764099029482972
"48",48,"Very liberal",0.704710656252826,0.749942191419755
"49",49,"Liberal",0.868791260099004,0.758277126147185
"50",50,"Very liberal",0.840170322022668,0.782230961605749
"51",51,"Very conservative",0.601834274131815,0.699692310235344
"52",52,"Very conservative",0.936815734405203,0.767204160073651
"53",53,"Very conservative",0.651439928394827,0.684220122131434
"54",54,"Very conservative",0.881040301250293,0.722123037171584
"55",55,"Very conservative",0.862219602226316,0.755833824031504
"56",56,"Moderate",0.578254882485346,0.719286828676921
"57",57,"Very conservative",0.78661894728379,0.68359188571049
"58",58,"Very conservative",0.831986796146766,0.695214207475825
"59",59,"Very conservative",0.594243610422426,0.681160560848379
"60",60,"Very conservative",0.872024725372037,0.736491874706269
"61",61,"Very conservative",0.844473470956596,0.702646593254194
